city,country,latitude,longitude,temperature,temp_min,temp_max,humidity,weather,wind_speed,visibility,timestamp
Kathmandu,NP,27.7167,85.3167,297.62,297.62,297.62,81,light rain,0.69,10000,2026-08-06 10:16:58.201904
London,GB,51.5085,-0.1257,285.63,285.63,285.63,79,clear sky,3.6,10000,2026-08-06 10:16:58.402319
Tokyo,JP,35.6895,139.6917,305.64,305.64,305.64,64,broken clouds,2.96,10000,2026-08-06 10:16:58.580958
New York,US,40.7143,-74.006,297.53,297.53,297.53,94,light rain,4.13,10000,2026-08-06 10:16:58.743242
Sydney,AU,-33.8679,151.2073,290.37,290.37,290.37,40,scattered clouds,1.28,10000,2026-08-06 10:16:58.917916
Paris,FR,48.8534,2.3488,288.55,288.55,288.55,69,clear sky,1.97,10000,2026-08-06 10:16:59.107618
Dubai,AE,25.2582,55.3047,309.72,309.72,309.72,43,scattered clouds,3.29,10000,2026-08-06 10:16:59.296819
Singapore,SG,1.2897,103.8501,304.78,304.78,304.78,72,scattered clouds,4.21,10000,2026-08-06 10:16:59.475873
Cairo,EG,30.0626,31.2497,298.64,298.64,298.64,69,clear sky,2.79,10000,2026-08-06 10:16:59.649138
Toronto,CA,43.7001,-79.41 63,294.46,294.46,294.46,79,few clouds,1.23,10000,2026-08-06 10:16:59.831268
